Date	09-08-2015
Participant ID	2YGXPKBJIT
Category ID	4
Clarity Reward	0.1
Trials per Component	3
Trial Duration	10
Components	0	0.01	0.05	0.1	0.25	1	

Clarity Punish	Button A Count	Button A Rate	Button N Count	Button N Rate
0.01	15	1.67	0	0	
0.1	18	2.00	0	0	
0	12	1.33	0	0	
0.25	20	2.22	0	0	
1	32	3.00	0	0	
0.05	19	1.78	0	0	
1	33	3.33	0	0	
0.1	20	2.22	0	0	
0	12	1.33	0	0	
0.25	21	2.33	0	0	
0.05	19	2.11	1	0	
0.01	35	3.89	2	0	
0.25	35	3.67	3	0	
0.1	36	3.78	2	0	
0	12	1.33	1	0	
0.05	36	4.00	2	0	
1	33	3.11	1	0	
0.01	26	2.89	1	0	

